conv,cycles,source
0.conv,1324208,cosim_ya128
1.conv,721984,cosim_ya128
10.cv1.conv,149152,cosim_ya128
10.cv2.conv,119196,cosim_ya128
10.m.0.attn.proj.conv,104140,cosim_ya128
10.m.0.attn.qkv.conv,201516,cosim_ya128
10.m.0.ffn.0.conv,104140,cosim_ya128
10.m.0.ffn.1.conv,104140,cosim_ya128
13.cv1.conv,273640,cosim_ya128
13.cv2.conv,150868,cosim_ya128
13.m.0.cv1.conv,48432,cosim_ya128
13.m.0.cv2.conv,30796,cosim_ya128
13.m.0.cv3.conv,53256,cosim_ya128
13.m.0.m.0.cv1.conv,79588,cosim_ya128
13.m.0.m.0.cv2.conv,85300,cosim_ya128
13.m.0.m.1.cv1.conv,79588,cosim_ya128
13.m.0.m.1.cv2.conv,85300,cosim_ya128
16.cv1.conv,415012,cosim_ya128
16.cv2.conv,193040,cosim_ya128
16.m.0.cv1.conv,82668,cosim_ya128
16.m.0.cv2.conv,56840,cosim_ya128
16.m.0.cv3.conv,81216,cosim_ya128
16.m.0.m.0.cv1.conv,89788,cosim_ya128
16.m.0.m.0.cv2.conv,155748,cosim_ya128
16.m.0.m.1.cv1.conv,89788,cosim_ya128
16.m.0.m.1.cv2.conv,155748,cosim_ya128
17.conv,176028,cosim_ya128
19.cv1.conv,150868,cosim_ya128
19.cv2.conv,150868,cosim_ya128
19.m.0.cv1.conv,58472,cosim_ya128
19.m.0.cv2.conv,36732,cosim_ya128
19.m.0.cv3.conv,53456,cosim_ya128
19.m.0.m.0.cv1.conv,79788,cosim_ya128
19.m.0.m.0.cv2.conv,86172,cosim_ya128
19.m.0.m.1.cv1.conv,79788,cosim_ya128
19.m.0.m.1.cv2.conv,86172,cosim_ya128
2.cv1.conv,264084,cosim_ya128
2.cv2.conv,556264,cosim_ya128
2.m.0.cv1.conv,315440,cosim_ya128
2.m.0.cv2.conv,589512,cosim_ya128
20.conv,166940,cosim_ya128
22.cv1.conv,214920,cosim_ya128
22.cv2.conv,259260,cosim_ya128
22.m.0.0.cv1.conv,150596,cosim_ya128
22.m.0.0.cv2.conv,175412,cosim_ya128
22.m.0.1.attn.proj.conv,104140,cosim_ya128
22.m.0.1.attn.qkv.conv,201516,cosim_ya128
22.m.0.1.ffn.0.conv,104140,cosim_ya128
22.m.0.1.ffn.1.conv,104140,cosim_ya128
23.one2one_cv2.0.0.conv,306016,cosim_ya128
23.one2one_cv2.0.1.conv,170468,cosim_ya128
23.one2one_cv2.0.2,24416,cosim_ya128
23.one2one_cv2.1.0.conv,150156,cosim_ya128
23.one2one_cv2.1.1.conv,46992,cosim_ya128
23.one2one_cv2.1.2,6712,cosim_ya128
23.one2one_cv2.2.0.conv,78680,cosim_ya128
23.one2one_cv2.2.1.conv,14352,cosim_ya128
23.one2one_cv2.2.2,2100,cosim_ya128
23.one2one_cv3.0.0.0.conv,336072,cosim_ya128
23.one2one_cv3.0.0.1.conv,279680,cosim_ya128
23.one2one_cv3.0.1.1.conv,412480,cosim_ya128
23.one2one_cv3.0.2,83808,cosim_ya128
23.one2one_cv3.1.0.0.conv,180700,cosim_ya128
23.one2one_cv3.1.0.1.conv,116328,cosim_ya128
23.one2one_cv3.1.1.0.conv,180700,cosim_ya128
23.one2one_cv3.1.1.1.conv,116328,cosim_ya128
23.one2one_cv3.1.2,21360,cosim_ya128
23.one2one_cv3.2.0.0.conv,105680,cosim_ya128
23.one2one_cv3.2.0.1.conv,55452,cosim_ya128
23.one2one_cv3.2.1.0.conv,52956,cosim_ya128
23.one2one_cv3.2.1.1.conv,37292,cosim_ya128
23.one2one_cv3.2.2,5808,cosim_ya128
3.conv,694968,cosim_ya128
4.cv1.conv,179112,cosim_ya128
4.cv2.conv,410428,cosim_ya128
4.m.0.cv1.conv,159216,cosim_ya128
4.m.0.cv2.conv,239232,cosim_ya128
5.conv,664632,cosim_ya128
6.cv1.conv,116328,cosim_ya128
6.cv2.conv,150868,cosim_ya128
6.m.0.cv1.conv,49428,cosim_ya128
6.m.0.cv2.conv,31404,cosim_ya128
6.m.0.cv3.conv,53356,cosim_ya128
6.m.0.m.0.cv1.conv,79688,cosim_ya128
6.m.0.m.0.cv2.conv,85736,cosim_ya128
6.m.0.m.1.cv1.conv,79688,cosim_ya128
6.m.0.m.1.cv2.conv,85736,cosim_ya128
7.conv,320684,cosim_ya128
8.cv1.conv,104140,cosim_ya128
8.cv2.conv,183708,cosim_ya128
8.m.0.cv1.conv,35876,cosim_ya128
8.m.0.cv2.conv,22940,cosim_ya128
8.m.0.cv3.conv,45524,cosim_ya128
8.m.0.m.0.cv1.conv,78616,cosim_ya128
8.m.0.m.0.cv2.conv,76280,cosim_ya128
8.m.0.m.1.cv1.conv,78616,cosim_ya128
8.m.0.m.1.cv2.conv,76280,cosim_ya128
9.cv1.conv,68916,cosim_ya128
9.cv2.conv,227812,cosim_ya128
23.one2one_cv3.0.1.0.conv,924944,interpolated_ydir
